#X		Y		Free		Pro
2.648750	2.648750	7.722214	0.000000
2.648750	2.746250	6.702445	0.000000
2.648750	2.843750	6.349383	0.000000
2.648750	2.941250	6.207314	0.000000
2.648750	3.038750	6.296899	0.000000
2.648750	3.136250	6.509838	0.000000
2.648750	3.233750	6.675569	0.000000
2.648750	3.331250	6.932611	0.000000
2.648750	3.428750	7.214514	0.000000
2.648750	3.526250	7.637030	0.000000
2.648750	3.623750	7.951150	0.000000
2.648750	3.721250	8.130979	0.000000
2.648750	3.818750	7.898679	0.000000
2.648750	3.916250	8.073177	0.000000
2.648750	4.013750	7.646263	0.000000
2.648750	4.111250	7.098847	0.000000
2.648750	4.208750	6.974701	0.000000
2.648750	4.306250	6.852798	0.000000
2.648750	4.403750	6.632047	0.000000
2.648750	4.501250	6.849901	0.000000
2.648750	4.598750	7.380561	0.000000
2.648750	4.696250	7.315323	0.000000
2.648750	4.793750	7.643067	0.000000
2.648750	4.891250	7.552360	0.000000
2.648750	4.988750	7.208303	0.000000
2.648750	5.086250	6.981586	0.000000
2.648750	5.183750	6.734793	0.000000
2.648750	5.281250	6.519932	0.000000
2.648750	5.378750	6.389726	0.000000
2.648750	5.476250	6.547708	0.000000
2.648750	5.573750	6.566887	0.000000
2.648750	5.671250	6.649034	0.000000
2.648750	5.768750	6.984135	0.000000
2.648750	5.866250	7.086218	0.000000
2.648750	5.963750	7.074722	0.000000
2.648750	6.061250	7.180804	0.000000
2.648750	6.158750	7.561377	0.000000
2.648750	6.256250	7.646083	0.000000
2.648750	6.353750	7.837768	0.000000
2.648750	6.451250	8.162798	0.000000

2.746250	2.648750	5.200027	0.000003
2.746250	2.746250	4.176259	0.000015
2.746250	2.843750	3.801890	0.000027
2.746250	2.941250	3.696054	0.000032
2.746250	3.038750	3.797269	0.000027
2.746250	3.136250	3.973211	0.000020
2.746250	3.233750	4.268219	0.000012
2.746250	3.331250	4.586771	0.000007
2.746250	3.428750	4.726914	0.000006
2.746250	3.526250	5.246912	0.000002
2.746250	3.623750	5.607266	0.000001
2.746250	3.721250	5.542973	0.000001
2.746250	3.818750	5.700225	0.000001
